"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cmserver",,,,"User:","zhiyedan"
"Cmdline:","dstat -tcmnr --top-cpu --top-mem --output /home/zhiyedan/data/monitor/cmserver-2017-12-02.csv 60",,,,"Date:","02 Dec 2017 12:26:58 CST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"most expensive","most expensive"
04-12 15:56:58,0.790,0.213,98.917,0.076,0.0,0.004,16458448896.0,456278016.0,18288091136.0,15358214144.0,13750.600,3927.933,0.0,9.283,java / 0%,java / 2692587520%
04-12 15:57:58,0.575,0.244,99.142,0.037,0.0,0.003,16458280960.0,456282112.0,18292568064.0,15353901056.0,13485.717,3472.067,0.0,4.650,java / 0%,java / 2692526080%
04-12 15:58:58,0.561,0.196,99.207,0.032,0.0,0.003,16459206656.0,456282112.0,18297516032.0,15348027392.0,13710.583,3532.983,0.0,4.083,java / 0%,java / 2692435968%
04-12 15:59:58,0.568,0.194,99.195,0.038,0.0,0.005,16458768384.0,456282112.0,18303426560.0,15342555136.0,13894.300,3998.500,0.0,6.917,java / 0%,java / 2692415488%
04-12 16:00:58,1.000,0.217,98.676,0.103,0.0,0.004,16461897728.0,456282112.0,18297602048.0,15345250304.0,13915.450,4118.683,0.0,13.767,java / 0%,java / 2692415488%
04-12 16:01:58,0.996,0.219,98.609,0.171,0.0,0.004,16461201408.0,456282112.0,18292363264.0,15351185408.0,14029.417,3469.100,0.0,16.217,java / 0%,java / 2692411392%
04-12 16:02:58,1.285,0.258,98.422,0.033,0.0,0.003,16458350592.0,456282112.0,18309697536.0,15336701952.0,19488.817,4133.533,0.0,4.533,java / 0%,java / 2692354048%
04-12 16:03:58,0.571,0.187,99.205,0.033,0.0,0.003,16459087872.0,456282112.0,18301042688.0,15344619520.0,13560.133,3402.600,0.0,6.250,java / 0%,java / 2692354048%
04-12 16:04:58,0.571,0.198,99.191,0.037,0.0,0.003,16459055104.0,456282112.0,18308132864.0,15337562112.0,13501.617,3376.950,0.0,6.183,java / 0%,java / 2692358144%
04-12 16:05:58,1.105,0.214,98.637,0.040,0.0,0.005,16461606912.0,456282112.0,18312114176.0,15331028992.0,14526.100,12078.050,0.017,4.817,java / 0%,java / 2694078464%
04-12 16:06:58,1.104,0.203,98.663,0.024,0.0,0.006,16459759616.0,456282112.0,18318991360.0,15325999104.0,14061.900,15608.050,0.0,4.0,java / 0%,java / 2693259264%
04-12 16:07:58,1.614,0.363,97.918,0.100,0.0,0.005,16462307328.0,456282112.0,18312429568.0,15330013184.0,17342.450,8304.650,0.050,13.233,java / 0%,java / 2693193728%
04-12 16:08:58,1.068,0.293,98.597,0.038,0.0,0.003,16459948032.0,456282112.0,18318131200.0,15326670848.0,12472.017,2827.617,0.0,4.467,java / 0%,java / 2693177344%
04-12 16:09:58,0.529,0.187,99.228,0.053,0.0,0.003,16458088448.0,456282112.0,18311892992.0,15334768640.0,11822.883,2324.433,0.0,9.050,java / 0%,java / 2693115904%
04-12 16:10:58,0.551,0.196,99.225,0.024,0.0,0.004,16457003008.0,456282112.0,18317811712.0,15329935360.0,11909.400,2710.117,0.0,4.683,java / 0%,java / 2693038080%
04-12 16:11:58,0.514,0.187,99.280,0.015,0.0,0.003,16457895936.0,456282112.0,18323480576.0,15323373568.0,11571.917,2330.767,0.0,3.750,java / 0%,java / 2693017600%
04-12 16:12:58,1.036,0.248,98.671,0.042,0.0,0.003,16456830976.0,456282112.0,18324185088.0,15323734016.0,11876.033,2346.783,0.0,4.983,java / 0%,java / 2692935680%
04-12 16:13:58,0.580,0.188,99.200,0.030,0.0,0.003,16458235904.0,456282112.0,18317611008.0,15328903168.0,13250.133,8844.517,0.0,4.767,java / 0%,java / 2692853760%
04-12 16:14:58,0.622,0.195,99.152,0.028,0.0,0.003,16456069120.0,456282112.0,18323906560.0,15324774400.0,11761.350,2427.983,0.0,5.750,java / 0%,java / 2692853760%
04-12 16:15:58,0.560,0.195,99.198,0.042,0.0,0.004,16455958528.0,456282112.0,18316759040.0,15332032512.0,11697.583,2809.517,0.0,4.900,java / 0%,java / 2692853760%
04-12 16:16:58,0.530,0.194,99.240,0.033,0.0,0.003,16456802304.0,456286208.0,18322825216.0,15325118464.0,11701.517,2425.967,0.0,3.967,java / 0%,java / 2692853760%
04-12 16:17:58,0.538,0.250,99.183,0.026,0.0,0.003,16455094272.0,456286208.0,18328461312.0,15321190400.0,11630.417,2467.250,0.0,3.217,java / 0%,java / 2692853760%
04-12 16:18:58,0.534,0.190,99.236,0.036,0.0,0.003,16450764800.0,456290304.0,18334097408.0,15319879680.0,11718.383,2443.033,0.0,4.200,java / 0%,java / 2692730880%
04-12 16:19:58,0.555,0.192,99.180,0.070,0.0,0.003,16452763648.0,456290304.0,18318700544.0,15333277696.0,11496.650,2425.417,0.0,6.317,java / 0%,java / 2692780032%
04-12 16:20:58,0.553,0.198,99.221,0.024,0.0,0.003,16452620288.0,456290304.0,18324959232.0,15327162368.0,12889.150,2870.167,0.0,4.0,java / 0%,java / 2692780032%
04-12 16:21:58,0.953,0.209,98.715,0.120,0.0,0.003,16452268032.0,456290304.0,18320740352.0,15331733504.0,11766.950,2467.383,0.0,13.650,java / 0%,java / 2692792320%
04-12 16:22:58,1.329,0.267,98.325,0.075,0.0,0.003,16450973696.0,456290304.0,18329997312.0,15323770880.0,10999.717,2421.383,0.0,11.483,java / 0%,java / 2692780032%
04-12 16:23:58,0.518,0.184,99.273,0.022,0.0,0.003,16451178496.0,456290304.0,18335764480.0,15317798912.0,11764.217,2428.683,0.0,4.300,java / 0%,java / 2692780032%
04-12 16:24:58,0.538,0.193,99.236,0.030,0.0,0.003,16451342336.0,456294400.0,18341937152.0,15311458304.0,11823.250,2478.033,0.0,5.600,java / 0%,java / 2692775936%
04-12 16:25:58,0.946,0.216,98.726,0.107,0.0,0.005,16451203072.0,456294400.0,18336522240.0,15317012480.0,12005.467,2911.367,0.0,13.767,java / 0%,java / 2692775936%
04-12 16:26:58,0.670,0.189,99.104,0.033,0.0,0.003,16448610304.0,456294400.0,18342109184.0,15314018304.0,13627.100,33967.667,0.0,4.700,java / 0%,java / 2693349376%
04-12 16:27:58,0.662,0.251,99.058,0.025,0.0,0.003,16449638400.0,456294400.0,18336833536.0,15318265856.0,12810.417,4252.333,0.0,3.917,java / 0%,java / 2693484544%
04-12 16:28:58,0.937,0.219,98.744,0.096,0.0,0.005,16456753152.0,456294400.0,18330550272.0,15317434368.0,12772.417,5345.200,0.0,12.483,java / 0%,java / 2693369856%
04-12 16:29:58,0.832,0.193,98.916,0.056,0.0,0.004,16459112448.0,456294400.0,18336415744.0,15309209600.0,12980.383,5572.933,0.0,5.883,java / 0%,java / 2693447680%
04-12 16:30:58,0.723,0.192,99.051,0.029,0.0,0.005,16476934144.0,456298496.0,18342449152.0,15285350400.0,12927.567,6201.467,0.0,4.083,java / 0%,java / 2693529600%
04-12 16:31:58,0.696,0.200,99.064,0.035,0.0,0.005,16473763840.0,456298496.0,18335907840.0,15295062016.0,12718.400,5784.667,0.0,4.500,java / 0%,java / 2693509120%
04-12 16:32:58,1.142,0.260,98.558,0.036,0.0,0.004,16473587712.0,456298496.0,18343763968.0,15287382016.0,12821.867,5226.717,0.0,4.267,java / 0%,java / 2693693440%
04-12 16:33:58,0.751,0.197,98.998,0.049,0.0,0.005,16465387520.0,456298496.0,18336849920.0,15302496256.0,12747.100,5746.933,0.0,4.933,java / 0%,java / 2693894144%
04-12 16:34:58,0.694,0.197,99.073,0.032,0.0,0.005,16463323136.0,456298496.0,18342617088.0,15298793472.0,12669.767,5236.083,0.0,5.017,java / 0%,java / 2693324800%
04-12 16:35:58,0.718,0.205,99.045,0.027,0.0,0.006,16457437184.0,456298496.0,18348859392.0,15298437120.0,12789.333,5565.083,0.0,4.433,java / 0%,java / 2693660672%
04-12 16:36:58,0.686,0.198,99.087,0.026,0.0,0.004,16456368128.0,456302592.0,18354499584.0,15293861888.0,12599.633,5797.317,0.0,3.883,java / 0%,java / 2693767168%
04-12 16:37:58,0.688,0.247,99.009,0.053,0.0,0.003,16456552448.0,456302592.0,18348277760.0,15299899392.0,12728.183,5195.350,0.0,4.133,java / 0%,java / 2693492736%
04-12 16:38:58,0.719,0.201,99.055,0.022,0.0,0.004,16458162176.0,456302592.0,18354040832.0,15292526592.0,12613.783,5755.817,0.0,3.283,java / 0%,java / 2694008832%
04-12 16:39:58,0.711,0.200,99.047,0.038,0.0,0.005,16460173312.0,456302592.0,18346827776.0,15297728512.0,12656.067,5408.767,0.0,6.133,java / 0%,java / 2693509120%
04-12 16:40:58,0.736,0.209,99.010,0.040,0.0,0.005,16456069120.0,456302592.0,18352959488.0,15295700992.0,12697.833,6205.217,0.0,4.717,java / 0%,java / 2694127616%
04-12 16:41:58,0.673,0.193,99.110,0.019,0.0,0.005,16456413184.0,456302592.0,18358734848.0,15289581568.0,12441.083,5244.0,0.0,3.417,java / 0%,java / 2693763072%
04-12 16:42:58,1.190,0.255,98.526,0.024,0.0,0.005,16457310208.0,456302592.0,18366115840.0,15281303552.0,12593.133,5794.217,0.0,4.133,java / 0%,java / 2693914624%
04-12 16:43:58,0.695,0.198,99.072,0.031,0.0,0.004,16456921088.0,456302592.0,18359656448.0,15288152064.0,12489.917,5188.833,0.0,5.267,java / 0%,java / 2693689344%
04-12 16:44:58,0.713,0.196,99.052,0.033,0.0,0.005,16457502720.0,456302592.0,18365554688.0,15281672192.0,13028.067,5748.333,0.0,4.767,java / 0%,java / 2694144000%
04-12 16:45:58,1.099,0.228,98.545,0.122,0.0,0.006,16458027008.0,456302592.0,18360676352.0,15286026240.0,12630.867,5605.267,0.0,13.967,java / 0%,java / 2693689344%
04-12 16:46:58,0.698,0.196,99.063,0.038,0.0,0.005,16455569408.0,456302592.0,18366840832.0,15282319360.0,12476.267,5232.217,0.0,4.717,java / 0%,java / 2694127616%
04-12 16:47:58,0.704,0.254,99.012,0.026,0.0,0.004,16455663616.0,456302592.0,18372476928.0,15276589056.0,12391.583,5777.850,0.0,3.800,java / 0%,java / 2693984256%
04-12 16:48:58,0.687,0.193,99.095,0.019,0.0,0.005,16457961472.0,456306688.0,18378113024.0,15268651008.0,12513.700,5184.033,0.0,3.167,java / 0%,java / 2694381568%
04-12 16:49:58,1.182,0.226,98.485,0.101,0.0,0.006,16458354688.0,456306688.0,18372886528.0,15273484288.0,12609.017,5777.117,0.0,15.550,java / 0%,java / 2694746112%
04-12 16:50:58,0.721,0.201,99.019,0.054,0.0,0.004,16458014720.0,456306688.0,18378776576.0,15267934208.0,13070.717,5621.0,0.0,5.867,java / 0%,java / 2694406144%
04-12 16:51:58,0.750,0.192,99.029,0.024,0.0,0.006,16459902976.0,456306688.0,18371944448.0,15272878080.0,16402.417,5815.417,0.0,3.767,java / 0%,java / 2694479872%
04-12 16:52:58,1.111,0.258,98.609,0.017,0.0,0.004,16459681792.0,456306688.0,18380759040.0,15264284672.0,12664.400,5199.233,0.0,4.867,java / 0%,java / 2693771264%
04-12 16:53:58,0.737,0.198,99.030,0.032,0.0,0.004,16458649600.0,456306688.0,18386534400.0,15259541504.0,12523.0,5730.917,0.0,4.950,java / 0%,java / 2694135808%
04-12 16:54:58,0.819,0.197,98.943,0.037,0.0,0.004,16458203136.0,456310784.0,18390728704.0,15255789568.0,12674.067,5245.400,0.0,5.650,java / 0%,java / 2694385664%
04-12 16:55:58,0.753,0.201,99.013,0.028,0.0,0.006,16459517952.0,456310784.0,18384359424.0,15260844032.0,12792.433,6157.867,0.0,3.650,java / 0%,java / 2694705152%
04-12 16:56:58,0.714,0.198,99.060,0.024,0.0,0.004,16458653696.0,456310784.0,18390515712.0,15255552000.0,12544.133,5197.483,0.0,4.117,java / 0%,java / 2694422528%
04-12 16:57:58,0.735,0.258,98.959,0.044,0.0,0.004,16459173888.0,456310784.0,18390360064.0,15255187456.0,12710.950,5225.700,0.0,4.267,java / 0%,java / 2694283264%
04-12 16:58:58,0.688,0.199,99.074,0.034,0.0,0.005,16458743808.0,456310784.0,18396135424.0,15249842176.0,12639.383,5726.983,0.0,4.733,java / 0%,java / 2694197248%
04-12 16:59:58,0.678,0.193,99.099,0.025,0.0,0.005,16458420224.0,456314880.0,18395181056.0,15251116032.0,12135.100,5227.917,0.0,4.783,java / 0%,java / 2694144000%
04-12 17:00:58,0.732,0.209,99.018,0.035,0.0,0.005,16458203136.0,456318976.0,18400919552.0,15245590528.0,12830.683,6116.250,0.0,4.850,java / 0%,java / 2694569984%
04-12 17:01:58,0.688,0.198,99.057,0.052,0.0,0.005,16459264000.0,456318976.0,18394685440.0,15250763776.0,12496.383,5193.217,0.0,4.317,java / 0%,java / 2694197248%
04-12 17:02:58,1.621,0.259,98.050,0.066,0.0,0.004,16460382208.0,456318976.0,18406313984.0,15238017024.0,12694.400,5756.467,0.0,7.117,java / 1%,java / 2694909952%
04-12 17:03:58,0.697,0.193,99.067,0.038,0.0,0.005,16457248768.0,456318976.0,18399219712.0,15248244736.0,12367.433,5188.400,0.0,6.067,java / 0%,java / 2694684672%
04-12 17:04:58,0.516,0.196,99.242,0.042,0.0,0.003,16456581120.0,456323072.0,18404990976.0,15243137024.0,11718.067,2299.217,0.0,5.683,java / 0%,java / 2694148096%
04-12 17:05:58,0.536,0.190,99.240,0.031,0.0,0.003,16457478144.0,456323072.0,18410586112.0,15236644864.0,11595.900,2662.533,0.0,4.133,java / 0%,java / 2694070272%
04-12 17:06:58,0.531,0.182,99.264,0.021,0.0,0.003,16458997760.0,456327168.0,18416746496.0,15228960768.0,12145.183,2297.117,0.0,3.033,java / 0%,java / 2693992448%
04-12 17:07:58,0.557,0.246,99.158,0.037,0.0,0.003,16457289728.0,456327168.0,18404597760.0,15242817536.0,11425.650,2288.350,0.0,4.233,java / 0%,java / 2693926912%
04-12 17:08:58,0.515,0.187,99.265,0.031,0.0,0.002,16458027008.0,456327168.0,18410491904.0,15236186112.0,11235.650,2244.933,0.0,4.200,java / 0%,java / 2693922816%
04-12 17:09:58,0.979,0.213,98.630,0.173,0.0,0.004,16458612736.0,456327168.0,18405257216.0,15240835072.0,11344.850,2265.250,0.0,15.317,java / 0%,java / 2693914624%
04-12 17:10:58,0.556,0.198,99.199,0.042,0.0,0.003,16456929280.0,456327168.0,18411118592.0,15236657152.0,11479.850,2648.917,0.017,5.217,java / 0%,java / 2693971968%
04-12 17:11:58,0.515,0.181,99.259,0.041,0.0,0.004,16457678848.0,456327168.0,18416750592.0,15230275584.0,11503.450,2283.617,0.0,3.883,java / 0%,java / 2693922816%
04-12 17:12:58,1.065,0.254,98.634,0.045,0.0,0.002,16458776576.0,456327168.0,18333941760.0,15311986688.0,10520.517,2311.033,0.0,5.467,java / 0%,java / 2693926912%
04-12 17:13:58,1.026,0.221,98.601,0.149,0.0,0.003,16458584064.0,456327168.0,18330079232.0,15316041728.0,11440.550,2271.083,0.0,15.283,java / 0%,java / 2693926912%
04-12 17:14:58,0.524,0.191,99.238,0.042,0.0,0.003,16457338880.0,456327168.0,18335854592.0,15311511552.0,11255.617,2286.367,0.0,6.867,java / 0%,java / 2693931008%
04-12 17:15:58,0.558,0.192,99.209,0.038,0.0,0.003,16455802880.0,456331264.0,18329231360.0,15319666688.0,11522.367,2684.917,0.0,4.800,java / 0%,java / 2693976064%
04-12 17:16:58,0.503,0.189,99.265,0.041,0.0,0.002,16455553024.0,456331264.0,18335522816.0,15313625088.0,11412.350,2243.783,0.0,3.850,java / 0%,java / 2693926912%
04-12 17:17:58,0.520,0.237,99.199,0.041,0.0,0.003,16456187904.0,456335360.0,18340827136.0,15307681792.0,11529.750,2290.533,0.0,3.567,java / 0%,java / 2693976064%
04-12 17:18:58,0.508,0.186,99.260,0.042,0.0,0.004,16454815744.0,456339456.0,18346532864.0,15303344128.0,11506.667,2332.133,0.0,4.350,java / 0%,java / 2693926912%
04-12 17:19:58,0.612,0.187,99.144,0.054,0.0,0.003,16456372224.0,456339456.0,18340229120.0,15308091392.0,11580.533,2422.733,0.0,5.783,java / 0%,java / 2693926912%
04-12 17:20:58,0.547,0.196,99.205,0.048,0.0,0.004,16455163904.0,456339456.0,18346360832.0,15303168000.0,12296.767,7314.017,0.0,4.617,java / 0%,java / 2693926912%
04-12 17:21:58,0.499,0.180,99.284,0.033,0.0,0.003,16455577600.0,456339456.0,18352001024.0,15297114112.0,11395.317,2325.250,0.0,3.267,java / 0%,java / 2693881856%
04-12 17:22:58,1.053,0.248,98.660,0.036,0.0,0.003,16455528448.0,456343552.0,18352275456.0,15296884736.0,11232.800,2326.917,0.0,4.500,java / 0%,java / 2693926912%
04-12 17:23:58,0.528,0.193,99.239,0.038,0.0,0.002,16454520832.0,456343552.0,18357911552.0,15292256256.0,11367.417,2272.567,0.0,5.333,java / 0%,java / 2693926912%
04-12 17:24:58,0.560,0.187,99.220,0.030,0.0,0.004,16455192576.0,456343552.0,18351230976.0,15298265088.0,11503.550,2366.650,0.0,5.133,java / 0%,java / 2693926912%
04-12 17:25:58,0.545,0.193,99.227,0.031,0.0,0.003,16454926336.0,456343552.0,18345336832.0,15304425472.0,11574.300,2677.317,0.0,5.483,java / 0%,java / 2693881856%
04-12 17:26:58,0.496,0.193,99.271,0.035,0.0,0.003,16454782976.0,456343552.0,18350981120.0,15298924544.0,11394.317,2300.683,0.0,3.967,java / 0%,java / 2693926912%
04-12 17:27:58,0.553,0.240,99.174,0.031,0.0,0.003,16455700480.0,456343552.0,18347593728.0,15301394432.0,11197.617,2312.800,0.0,3.733,java / 0%,java / 2693881856%
04-12 17:28:58,0.529,0.188,99.251,0.030,0.0,0.002,16453971968.0,456343552.0,18353487872.0,15297228800.0,11330.100,2276.033,0.0,4.267,java / 0%,java / 2693881856%
04-12 17:29:58,0.529,0.187,99.241,0.040,0.0,0.003,16455421952.0,456347648.0,18359128064.0,15290134528.0,11174.417,2287.933,0.0,5.583,java / 0%,java / 2693881856%
04-12 17:30:58,0.579,0.199,99.169,0.050,0.0,0.003,16455831552.0,456347648.0,18352300032.0,15296552960.0,11631.183,2723.783,0.0,4.733,java / 0%,java / 2693881856%
04-12 17:31:58,0.528,0.193,99.250,0.026,0.0,0.003,16455745536.0,456347648.0,18345693184.0,15303245824.0,11231.017,2292.017,0.0,3.417,java / 0%,java / 2693881856%
04-12 17:32:58,0.946,0.250,98.770,0.031,0.0,0.003,16456105984.0,456347648.0,18361294848.0,15287283712.0,11432.717,2269.533,0.0,4.067,java / 0%,java / 2693926912%
04-12 17:33:58,0.518,0.187,99.264,0.029,0.0,0.002,16456478720.0,456351744.0,18367197184.0,15281004544.0,11236.183,2330.450,0.0,6.117,java / 0%,java / 2693881856%
04-12 17:34:58,0.523,0.202,99.233,0.039,0.0,0.003,16454868992.0,456351744.0,18373099520.0,15276711936.0,11374.750,2284.967,0.0,5.250,java / 0%,java / 2693926912%
04-12 17:35:58,0.533,0.194,99.249,0.021,0.0,0.003,16454164480.0,456351744.0,18378956800.0,15271559168.0,10950.250,2638.050,0.0,3.483,java / 0%,java / 2693926912%
04-12 17:36:58,0.545,0.193,99.228,0.031,0.0,0.003,16456228864.0,456351744.0,18371854336.0,15276597248.0,11529.517,2312.200,0.0,4.233,java / 0%,java / 2693926912%
04-12 17:37:58,0.552,0.241,99.167,0.036,0.0,0.003,16455659520.0,456351744.0,18356486144.0,15292534784.0,9774.500,1825.283,0.0,3.983,java / 0%,java / 2693881856%
04-12 17:38:58,0.527,0.189,99.253,0.028,0.0,0.003,16454639616.0,456351744.0,18362388480.0,15287652352.0,11691.167,2314.267,0.0,3.200,java / 0%,java / 2693877760%
04-12 17:39:58,0.519,0.190,99.265,0.023,0.0,0.003,16454615040.0,456351744.0,18368159744.0,15281905664.0,11167.267,2277.900,0.0,5.050,java / 0%,java / 2693922816%
04-12 17:40:58,0.533,0.200,99.225,0.038,0.0,0.003,16454017024.0,456355840.0,18374033408.0,15276625920.0,11568.183,2679.750,0.0,4.283,java / 0%,java / 2693877760%
04-12 17:41:58,0.512,0.184,99.266,0.033,0.0,0.003,16458805248.0,456355840.0,18379542528.0,15266328576.0,11143.800,2299.683,0.0,3.100,java / 0%,java / 2693877760%
04-12 17:42:58,1.270,0.272,98.360,0.095,0.0,0.004,16460693504.0,456355840.0,18368528384.0,15275454464.0,11220.300,2285.050,0.0,11.417,java / 0%,java / 2693877760%
04-12 17:43:58,0.535,0.182,99.241,0.038,0.0,0.003,16462352384.0,456355840.0,18361913344.0,15280410624.0,11114.883,2305.600,0.0,6.167,java / 0%,java / 2693877760%
04-12 17:44:58,0.516,0.194,99.246,0.041,0.0,0.003,16465383424.0,456355840.0,18367557632.0,15271735296.0,11282.900,2208.633,0.0,5.317,java / 0%,java / 2693926912%
04-12 17:45:58,0.536,0.191,99.246,0.024,0.0,0.003,16466001920.0,456355840.0,18373541888.0,15265132544.0,11534.500,2712.133,0.0,3.550,java / 0%,java / 2693926912%
04-12 17:46:58,0.525,0.193,99.246,0.033,0.0,0.004,16468582400.0,456355840.0,18379698176.0,15256395776.0,11503.667,2278.733,0.0,4.667,java / 0%,java / 2693926912%
04-12 17:47:58,0.536,0.247,99.183,0.031,0.0,0.003,16468709376.0,456355840.0,18385342464.0,15250624512.0,11188.733,2284.550,0.0,4.083,java / 0%,java / 2693881856%
04-12 17:48:58,0.551,0.193,99.220,0.033,0.0,0.003,16469348352.0,456355840.0,18378366976.0,15256961024.0,11507.533,2293.283,0.0,4.050,java / 0%,java / 2693881856%
04-12 17:49:58,0.755,0.199,98.934,0.110,0.0,0.003,16469053440.0,456355840.0,18373238784.0,15262384128.0,11253.967,2295.250,0.0,10.083,java / 0%,java / 2694475776%
04-12 17:50:58,0.537,0.186,99.251,0.023,0.0,0.003,16467165184.0,456355840.0,18379255808.0,15258255360.0,11517.050,2733.867,0.0,5.117,java / 0%,java / 2693881856%
04-12 17:51:58,0.504,0.187,99.276,0.031,0.0,0.003,16468004864.0,456359936.0,18385420288.0,15251247104.0,11271.583,2273.267,0.0,3.567,java / 0%,java / 2693926912%
04-12 17:52:58,0.926,0.244,98.798,0.028,0.0,0.004,16466747392.0,456359936.0,18400755712.0,15237169152.0,11403.017,2334.850,0.0,3.400,java / 0%,java / 2693881856%
04-12 17:53:58,0.490,0.182,99.292,0.033,0.0,0.003,16467771392.0,456359936.0,18406531072.0,15230369792.0,11634.283,2258.650,0.0,4.717,java / 0%,java / 2693926912%
04-12 17:54:58,0.812,0.207,98.870,0.107,0.0,0.003,16470286336.0,456359936.0,18402070528.0,15232315392.0,11397.667,2351.550,0.0,11.450,java / 0%,java / 2693926912%
04-12 17:55:58,0.553,0.186,99.212,0.046,0.0,0.003,16468537344.0,456359936.0,18396086272.0,15240048640.0,11696.583,2741.717,0.0,5.300,java / 0%,java / 2693926912%
04-12 17:56:58,0.511,0.193,99.273,0.020,0.0,0.003,16469389312.0,456359936.0,18401861632.0,15233421312.0,11174.383,2281.617,0.0,3.450,java / 0%,java / 2693881856%
04-12 17:57:58,0.526,0.238,99.203,0.030,0.0,0.003,16468066304.0,456359936.0,18407632896.0,15228973056.0,11233.250,2337.350,0.0,3.767,java / 0%,java / 2693881856%
04-12 17:58:58,0.517,0.188,99.267,0.025,0.0,0.003,16468885504.0,456359936.0,18413793280.0,15221993472.0,11216.350,2300.133,0.0,3.800,java / 0%,java / 2693926912%
04-12 17:59:58,0.524,0.184,99.239,0.049,0.0,0.003,16469700608.0,456359936.0,18419433472.0,15215538176.0,11178.300,2276.133,0.0,4.883,java / 0%,java / 2693926912%
04-12 18:00:58,0.587,0.196,99.186,0.027,0.0,0.003,16469458944.0,456359936.0,18412433408.0,15222779904.0,11379.433,2687.167,0.0,4.550,java / 0%,java / 2693926912%
04-12 18:01:58,0.516,0.189,99.255,0.038,0.0,0.002,16471384064.0,456359936.0,18406051840.0,15227236352.0,10318.783,2219.383,0.0,4.633,java / 0%,java / 2693926912%
04-12 18:02:58,1.305,0.248,98.390,0.054,0.0,0.003,16470216704.0,456359936.0,18400198656.0,15234256896.0,11138.217,2277.800,0.0,5.700,java / 0%,java / 2693926912%
04-12 18:03:58,0.535,0.185,99.236,0.040,0.0,0.003,16470405120.0,456359936.0,18406096896.0,15228170240.0,11234.950,2327.883,0.0,6.733,java / 0%,java / 2693926912%
04-12 18:04:58,0.514,0.191,99.241,0.050,0.0,0.003,16471105536.0,456359936.0,18411995136.0,15221571584.0,11182.533,2287.883,0.0,5.667,java / 0%,java / 2693926912%
04-12 18:05:58,0.530,0.189,99.253,0.026,0.0,0.002,16471752704.0,456359936.0,18417487872.0,15215431680.0,11538.300,2643.683,0.0,4.367,java / 0%,java / 2693926912%
04-12 18:06:58,0.544,0.186,99.230,0.037,0.0,0.003,16472813568.0,456359936.0,18410672128.0,15221186560.0,11339.667,2311.400,0.0,3.567,java / 0%,java / 2693926912%
04-12 18:07:58,0.553,0.241,99.163,0.040,0.0,0.003,16472047616.0,456359936.0,18404462592.0,15228162048.0,11164.583,2263.267,0.0,4.383,java / 0%,java / 2693926912%
04-12 18:08:58,0.516,0.182,99.270,0.029,0.0,0.003,16472813568.0,456359936.0,18410364928.0,15221493760.0,11628.433,2295.850,0.0,3.983,java / 0%,java / 2693926912%
04-12 18:09:58,0.520,0.182,99.232,0.064,0.0,0.003,16473591808.0,456359936.0,18416136192.0,15214944256.0,11169.200,2294.067,0.0,5.233,java / 0%,java / 2693926912%
04-12 18:10:58,0.556,0.198,99.209,0.035,0.0,0.003,16474529792.0,456359936.0,18422132736.0,15208009728.0,11579.250,2683.100,0.0,3.733,java / 0%,java / 2693926912%
04-12 18:11:58,0.518,0.177,99.271,0.031,0.0,0.003,16474513408.0,456364032.0,18427641856.0,15202512896.0,11059.300,2275.983,0.0,6.333,java / 0%,java / 2693926912%
04-12 18:12:58,1.080,0.248,98.633,0.035,0.0,0.003,16476946432.0,456364032.0,18430545920.0,15197175808.0,11313.683,2355.083,0.0,4.333,java / 0%,java / 2693926912%
04-12 18:13:58,0.710,0.198,99.011,0.079,0.0,0.002,16474685440.0,456364032.0,18425147392.0,15204835328.0,11036.733,2255.983,0.0,9.533,java / 0%,java / 2693926912%
04-12 18:14:58,0.514,0.193,99.251,0.039,0.0,0.003,16472117248.0,456364032.0,18431057920.0,15201492992.0,11316.717,2295.717,0.0,5.317,java / 0%,java / 2693926912%
04-12 18:15:58,0.541,0.194,99.239,0.023,0.0,0.003,16473333760.0,456364032.0,18437054464.0,15194279936.0,11290.117,2703.750,0.0,4.667,java / 0%,java / 2693926912%
04-12 18:16:58,0.519,0.185,99.263,0.029,0.0,0.003,16473174016.0,456364032.0,18443087872.0,15188406272.0,11294.433,2254.417,0.0,3.767,java / 0%,java / 2693926912%
04-12 18:17:58,0.540,0.244,99.182,0.032,0.0,0.003,16475406336.0,456368128.0,18340179968.0,15289077760.0,11013.283,2279.167,0.0,3.533,java / 0%,java / 2693926912%
04-12 18:18:58,0.779,0.206,98.903,0.110,0.0,0.003,16477552640.0,456368128.0,18334760960.0,15292350464.0,11405.467,2314.300,0.0,11.183,java / 0%,java / 2693926912%
04-12 18:19:58,0.532,0.189,99.221,0.054,0.0,0.003,16474890240.0,456368128.0,18328674304.0,15301099520.0,11087.500,2269.600,0.0,6.267,java / 0%,java / 2693926912%
04-12 18:20:58,0.546,0.194,99.215,0.042,0.0,0.003,16471695360.0,456368128.0,18334568448.0,15298400256.0,11479.867,2666.067,0.0,5.067,java / 0%,java / 2693926912%
04-12 18:21:58,0.492,0.188,99.291,0.026,0.0,0.003,16471592960.0,456372224.0,18340339712.0,15292727296.0,11109.517,2295.567,0.0,3.417,java / 0%,java / 2693926912%
